38.28, 23.36
38.20, -81.38
38.15, -85.46
38.11, 15.33
38.07, 13.22
38.00, 23.43
37.58, 58.20
37.58, 126.33
37.52, 32.29
37.48, 35.57
37.46, -122.26
37.41, -97.20
37.33, 126.59
37.30, 15.05
37.23, -5.59
37.12, -93.17
36.51, -75.59
36.48, 34.38
36.47, 3.04
36.22, 43.07
36.18, 59.37
36.11, -115.13
36.08, -5.21
36.08, 10.17
36.07, -95.56
36.05, 120.20
36.00, -86.47
35.54, 14.31
35.42, 51.25
35.41, 139.46
35.29, -97.32
35.26, 139.38
35.20, 25.8
35.14, -80.50
35.07, -89.58
35.07, 136.56
35.06, -106.35
35.31, 35.47
35.30, 139.45
35.28, 44.24
35.10, 33.21
35.06, 129.02
35.01, 135.45
34.45, 113.38
34.44, 10.46
34.44, -92.19
34.42, -119.70
34.42, 135.09
34.42, 135.30
34.31, 69.11
34.23, 132.27
34.05, 74.47
34.03, -118.15
34.02, -6.50
34.00, -81.02
33.56, -117.23
33.53, 35.31
33.45, -84.23
33.43, 73.4
33.35, 130.24
33.32, -7.35
33.31, -86.49
33.30, 36.18
33.27, -112.04
33.20, 44.26
32.54, 13.11
32.46, -96.48
32.43, -117.10
32.40, -115.28
32.38, 51.29
32.31, -117.02
32.18, -64.47
32.17, -90.11
32.07, 20.4
32.05, 34.48
32.03, 118.46
31.57, 35.56
31.48, -106.98
31.47, -116.36
31.46, 35.14
31.38, 74.51
31.37, 65.43
31.33, 74.20
31.31, 34.27
31.12, 29.55
31.10, 121.28
31.08, -8.0
31.06, 77.10
30.42, 76.43
30.41, -88.05
30.39, 104.04
30.34, 114.16
30.19, -81.40
30.18, -97.45
30.03, 31.22
29.58, 32.33
29.58, -90.04
29.55, -110.57
29.45, -95.22
29.39, 91.07
29.33, 34.57
29.33, 106.30
29.32, -98.28
29.22, 47.58
28.38, 77.13
28.38, -106.05
28.28, -16.15
28.25, -81.19
28.9, -15.25
27.58, -82.27
27.43, 85.22
27.29, 94.55
27.28, 89.38
27.10, 78.1
27.09, -13.12
27.02, 14.26
26.56, 75.49
26.44, 88.26
26.40, 92.45
26.20, 127.48
26.13, 50.35
26.10, 91.45
25.47, -80.13
25.40, -100.18
25.32, -103.26
25.19, 79.38
25.17, 51.32
25.16, 55.20
25.14, -107.50
25.03, -77.20
25.02, 121.38
24.43, 46.43
24.33, -81.47
24.28, 54.22
24.08, 67.01
23.42, 90.23
23.37, 58.36
23.30, 91.12
23.20, 113.30
23.07, -82.23
23.01, 72.34
22.59, 120.11
22.53, -109.55
22.49, 108.22
22.38, 120.16
22.34, 88.21
22.33, 114.06
22.22, -97.85
22.22, 91.48
22.17, 114.08
22.16, -100.98
22.10, 113.33
21.51, -102.18
